source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
vlsat,positive_density,100,0.9609768378650554,-0.0025176233635447742,-0.00596438244881693,0.0007462635065350797,0.0445985401459854,-0.00304744525547445,-0.004025792437158754,-0.0022197707187820654,0.06803061934585942,0.34443430656934304,1.0,0.655565693430657,54800
open3dsg,hard_tail,5,0.03499496475327291,0.0007552870090634448,0.0,0.0016426403174815947,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.016191709844559584,0.42063789868667917,1.0,0.5793621013133208,2665
open3dsg,hard_tail,10,0.10095669687814703,0.0022658610271903273,0.0009910434981750163,0.003720592628783365,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.03797856049004594,0.3874296435272045,1.0,0.6125703564727955,5330
open3dsg,hard_tail,20,0.2039274924471299,0.005035246727089632,0.0029586361573874114,0.007312569081315506,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.0495916852264291,0.3681988742964353,1.0,0.6318011257035647,10660
open3dsg,hard_tail,50,0.4136455186304129,0.009315206445115798,0.00531517452059096,0.013457303645705855,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302,0.05934795340665062,0.4230740351404115,1.0,0.5769259648595886,26636
open3dsg,hard_tail,100,0.5216515609264853,0.010574018126888185,0.006875745027918881,0.0142599962815806,0.032315259665980325,-0.0918363456112255,-0.09625708316938296,-0.08703505650722274,0.05918916087579006,0.4540341645695112,1.0,0.5459658354304888,52452
open3dsg,hard_drop,5,0.06822759315206445,0.03398791540785498,0.02824039637424991,0.040646549745932146,0.0,-0.5204502814258912,-0.5535260184682238,-0.48726423255716994,0.0,0.474671669793621,1.0,0.525328330206379,2665
open3dsg,hard_drop,10,0.13041289023162134,0.03172205438066464,0.02585028015461206,0.038393674423196,0.0,-0.32889305816135084,-0.34881774737440835,-0.30864015517298793,0.0,0.40787992495309566,1.0,0.5921200750469043,5330
open3dsg,hard_drop,20,0.24118831822759315,0.04229607250755288,0.03439832859460342,0.05111765092154995,0.0,-0.2099437148217636,-0.22093410882473383,-0.19852719518160694,0.0,0.3949343339587242,1.0,0.6050656660412758,10660
open3dsg,hard_drop,50,0.4242195367573011,0.01988922457200404,0.014639709051286028,0.025081738811571844,0.0,-0.13872203033488512,-0.14596908228143265,-0.131520268374617,0.0,0.46359505839059745,1.0,0.5364049416094026,26631
