source,method,k,kendall_tau_context_mean,kendall_tau_pair_weighted,jaccard_context_mean,jaccard_micro,intersection,union
open3dsg,linear__context_family_percentile,10,0.8500433452442792,0.8516878184165111,0.7445972012577853,0.7188003869719445,4458,6202
open3dsg,linear__context_family_percentile,20,0.8500433452442792,0.8516878184165111,0.7836818595789474,0.7676809551446812,9259,12061
open3dsg,linear__context_family_percentile,50,0.8500433452442792,0.8516878184165111,0.8523347819216943,0.8447260890643397,24394,28878
open3dsg,linear__context_family_percentile,100,0.8500433452442792,0.8516878184165111,0.8780420185131528,0.8703799454419028,48817,56087
open3dsg,mlp__identity,5,1.0,1.0,1.0,1.0,2665,2665
open3dsg,mlp__identity,10,1.0,1.0,1.0,1.0,5330,5330
open3dsg,mlp__identity,20,1.0,1.0,1.0,1.0,10660,10660
open3dsg,mlp__identity,50,1.0,1.0,1.0,1.0,26636,26636
open3dsg,mlp__identity,100,1.0,1.0,1.0,1.0,52452,52452
open3dsg,mlp__power_0p5,5,0.9777831449219041,0.9795837517927626,0.9539450816823081,0.943127962085308,2587,2743
open3dsg,mlp__power_0p5,10,0.9777831449219041,0.9795837517927626,0.9420822486515917,0.9343131917982217,5149,5511
open3dsg,mlp__power_0p5,20,0.9777831449219041,0.9795837517927626,0.9291946760528162,0.9231463106620963,10234,11086
open3dsg,mlp__power_0p5,50,0.9777831449219041,0.9795837517927626,0.9597475883850715,0.9578096288129364,26062,27210
open3dsg,mlp__power_0p5,100,0.9777831449219041,0.9795837517927626,0.9755139275620959,0.9740689862817786,51763,53141
open3dsg,mlp__power_2,5,0.9739191543636786,0.9747746523856705,0.9586374695863745,0.9488117001828154,2595,2735
open3dsg,mlp__power_2,10,0.9739191543636786,0.9747746523856705,0.9503173225800964,0.9434822242479489,5175,5485
open3dsg,mlp__power_2,20,0.9739191543636786,0.9747746523856705,0.9318497803899263,0.926273942898446,10252,11068
open3dsg,mlp__power_2,50,0.9739191543636786,0.9747746523856705,0.9501792538541416,0.9475743062918144,25919,27353
open3dsg,mlp__power_2,100,0.9739191543636786,0.9747746523856705,0.9729854895788014,0.9714350146583477,51692,53212
open3dsg,mlp__power_4,5,0.9378315110181729,0.9410206063102484,0.922075947167188,0.9035714285714286,2530,2800
open3dsg,mlp__power_4,10,0.9378315110181729,0.9410206063102484,0.9047710197345233,0.8914123491838183,5024,5636
open3dsg,mlp__power_4,20,0.9378315110181729,0.9410206063102484,0.8651669204826933,0.8523023457862728,9810,11510
open3dsg,mlp__power_4,50,0.9378315110181729,0.9410206063102484,0.9008435834939721,0.8951262895766631,25162,28110
open3dsg,mlp__power_4,100,0.9378315110181729,0.9410206063102484,0.9366465086638841,0.9327879725845678,50628,54276
open3dsg,mlp__temperature_0p5,5,0.9863556844579369,0.9877299313461654,0.943452380952381,0.9304599782687432,2569,2761
open3dsg,mlp__temperature_0p5,10,0.9863556844579369,0.9877299313461654,0.9367056301362872,0.9283646888567294,5132,5528
open3dsg,mlp__temperature_0p5,20,0.9863556844579369,0.9877299313461654,0.9337513961760233,0.9281902866962105,10263,11057
open3dsg,mlp__temperature_0p5,50,0.9863556844579369,0.9877299313461654,0.9684478926592314,0.9669177374095407,26188,27084
open3dsg,mlp__temperature_0p5,100,0.9863556844579369,0.9877299313461654,0.9839625332180882,0.9830248955596302,52003,52901
open3dsg,mlp__temperature_2,5,0.9918036651553748,0.9925258229290875,0.9959158846020159,0.9947604790419161,2658,2672
open3dsg,mlp__temperature_2,10,0.9918036651553748,0.9925258229290875,0.9908759124087592,0.9895483389324374,5302,5358
open3dsg,mlp__temperature_2,20,0.9918036651553748,0.9925258229290875,0.9835213448352135,0.98214949795463,10564,10756
open3dsg,mlp__temperature_2,50,0.9918036651553748,0.9925258229290875,0.9869618946070902,0.9863529587232932,26453,26819
open3dsg,mlp__temperature_2,100,0.9918036651553748,0.9925258229290875,0.9920925060647613,0.9916464155528554,52232,52672
open3dsg,mlp__context_family_percentile,5,0.8427904047685324,0.847265447003932,0.698043390105434,0.6405047706986765,2081,3249
open3dsg,mlp__context_family_percentile,10,0.8427904047685324,0.847265447003932,0.7824539761798243,0.7582055088240145,4597,6063
open3dsg,mlp__context_family_percentile,20,0.8427904047685324,0.847265447003932,0.7709179922041932,0.7515609595793624,9148,12172
open3dsg,mlp__context_family_percentile,50,0.8427904047685324,0.847265447003932,0.8255076458661087,0.8153688873743398,23927,29345
open3dsg,mlp__context_family_percentile,100,0.8427904047685324,0.847265447003932,0.8715800273252201,0.8635685354934982,48612,56292
sgfn,linear__identity,5,1.0,1.0,1.0,1.0,2740,2740
sgfn,linear__identity,10,1.0,1.0,1.0,1.0,5480,5480
sgfn,linear__identity,20,1.0,1.0,1.0,1.0,10960,10960
sgfn,linear__identity,50,1.0,1.0,1.0,1.0,27400,27400
