source,method,k,recall,recall_delta,recall_delta_ci95_low,recall_delta_ci95_high,violation,violation_delta,violation_delta_ci95_low,violation_delta_ci95_high,decidable_violation,uncertainty,status_coverage,decidable_coverage,selected
open3dsg,linear__temperature_2,5,0.03726082578046324,0.003021148036253772,0.001094598928735363,0.004894703891286947,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.01160631383472609,0.19174484052532834,1.0,0.8082551594746716,2665
open3dsg,linear__temperature_2,10,0.11379657603222558,0.015105740181268881,0.010385330095066989,0.020000129903871126,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.03090727816550349,0.2472795497185741,1.0,0.7527204502814259,5330
open3dsg,linear__temperature_2,20,0.23590130916414903,0.03700906344410876,0.029161876222826972,0.04449654126737461,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.04290301862556198,0.2696998123827392,1.0,0.7303001876172608,10660
open3dsg,linear__temperature_2,50,0.44133937562940584,0.03700906344410876,0.028749353689035643,0.04465895438493522,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302,0.053770414480278285,0.363230214746959,1.0,0.636769785253041,26636
open3dsg,linear__temperature_2,100,0.5699899295065458,0.05891238670694865,0.04744402665971287,0.07035588110961957,0.03241058491573248,-0.09174102036147334,-0.09619332976072208,-0.08693777641927895,0.05439303769117553,0.4041409288492336,1.0,0.5958590711507664,52452
open3dsg,linear__power_0p5,5,0.03751258811681772,0.0032729103726082537,0.001240648678026789,0.005268995353419144,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.011368804001819008,0.174859287054409,1.0,0.825140712945591,2665
open3dsg,linear__power_0p5,10,0.11253776435045318,0.01384692849949648,0.008981449195673603,0.018784984743535026,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.030362389813907934,0.23377110694183864,1.0,0.7662288930581613,5330
open3dsg,linear__power_0p5,20,0.23464249748237664,0.03575025176233637,0.027512525323643955,0.042921543205749056,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.042310615657461366,0.2594746716697936,1.0,0.7405253283302063,10660
open3dsg,linear__power_0p5,50,0.44133937562940584,0.03700906344410876,0.028200215972275795,0.0452291329277367,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302,0.053125182035300283,0.3554963207688842,1.0,0.6445036792311157,26636
open3dsg,linear__power_0p5,100,0.5727593152064451,0.06168177240684791,0.04959037843532068,0.07429843125659208,0.03241058491573248,-0.09174102036147334,-0.09619332976072208,-0.08693777641927895,0.053653148177371,0.3959238923205979,1.0,0.6040761076794021,52452
open3dsg,linear__power_4,5,0.038016112789526685,0.003776435045317217,0.0016271218151512055,0.006060009029591992,0.009380863039399626,-0.5110694183864916,-0.5439121379850161,-0.4785804033547291,0.012613521695257316,0.25628517823639774,1.0,0.7437148217636023,2665
open3dsg,linear__power_4,10,0.11354481369587109,0.014853977844914393,0.010193413486670147,0.019717470034576433,0.02326454033771107,-0.30562851782363976,-0.3254627075595368,-0.2850751243593609,0.032778218345228656,0.29024390243902437,1.0,0.7097560975609756,5330
open3dsg,linear__power_4,20,0.23464249748237664,0.03575025176233637,0.028195508940551874,0.04296847618354835,0.031332082551594746,-0.17861163227016885,-0.18970862677792905,-0.16741422137617235,0.04462257849031396,0.2978424015009381,1.0,0.7021575984990619,10660
open3dsg,linear__power_4,50,0.4385699899295065,0.03423967774420944,0.02687046976398791,0.04093813792491346,0.03423937528157381,-0.10448265505331131,-0.1106151210405097,-0.09855778140671302,0.055433989788475566,0.3823396906442409,1.0,0.6176603093557591,26636
open3dsg,linear__power_4,100,0.5508559919436052,0.03977844914400808,0.03076480665687714,0.049175486618209724,0.03252497521543506,-0.09162663006177077,-0.09603846390331654,-0.08684101160960132,0.05656686229649524,0.42501715854495536,1.0,0.5749828414550446,52452
open3dsg,mlp__temperature_2,5,0.03726082578046324,0.003021148036253772,0.001279713395232612,0.004941998661233262,0.04953095684803002,-0.47091932457786123,-0.4994399950332154,-0.4404148095847491,0.07047517351841964,0.29718574108818013,1.0,0.7028142589118199,2665
open3dsg,mlp__temperature_2,10,0.11807653575025176,0.01938569989929506,0.013667499595602248,0.025013674152510105,0.049343339587242026,-0.2795497185741088,-0.2984923130176517,-0.25974922107005505,0.07199562003832466,0.3146341463414634,1.0,0.6853658536585366,5330
