source,audit,method,k,recall_all,recall_scope,violation,violation_ci_low,violation_ci_high,coverage,uncertainty,delta_violation,delta_violation_ci_low,delta_violation_ci_high,selected_scope,satisfied,uncertain,violated,unsupported
sgfn,mesh,relcompat3d,50,0.7457200402819738,0.5737476808905381,0.0971091994109897,0.08931055879467882,0.10638244476755106,0.9626230975828111,0.11136944896535689,-0.039021734501514194,-0.04466776265774983,-0.03391545448446749,13404,10213,1437,1253,501
sgfn,mesh,relcompat3d,100,0.9287512588116817,0.8951762523191095,0.18750624022364962,0.1808397209511734,0.19494252402689152,0.96353899435608,0.12656837621060338,-0.055759556365021556,-0.060325663591938916,-0.05129212070214232,31184,20610,3803,5634,1137
sgfn,consensus,source,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.8983050847457628,0.0,,,,59,53,0,0,6
sgfn,consensus,source,10,0.39753272910372606,0.03525046382189239,0.024229074889867842,0.009540434034522951,0.0407673860911271,0.9360824742268041,0.09911894273127753,,,,485,398,45,11,31
sgfn,consensus,source,20,0.4911883182275932,0.14842300556586271,0.053293856402664694,0.042835274410824506,0.06654913487448588,0.9584959205391983,0.13545521835677277,,,,2819,2192,366,144,117
sgfn,consensus,source,50,0.7401812688821753,0.563543599257885,0.11560648581228562,0.10588116327664374,0.1270860166485556,0.9570277529095792,0.16105394449641408,,,,13404,9279,2066,1483,576
sgfn,consensus,source,100,0.9234642497482377,0.8854359925788498,0.2154981549815498,0.20746703761925095,0.22468326511255882,0.9559389430477168,0.17655149278765514,,,,31184,18123,5263,6424,1374
sgfn,consensus,relcompat3d,5,0.3116817724068479,0.004174397031539889,0.0,0.0,0.0,0.8983050847457628,0.0,0.0,0.0,0.0,59,53,0,0,6
sgfn,consensus,relcompat3d,10,0.39753272910372606,0.03525046382189239,0.013157894736842105,0.003935294476004813,0.0241577886553412,0.9402061855670103,0.09649122807017543,-0.011071180153025738,-0.02270694987271822,-0.002131139875214952,485,406,44,6,29
sgfn,consensus,relcompat3d,20,0.4919436052366566,0.14981447124304267,0.03552923760177646,0.027615294489992104,0.044471034122520375,0.9584959205391983,0.12768319763138417,-0.017764618800888234,-0.025397972425174595,-0.01138058153899482,2819,2261,345,96,117
sgfn,consensus,relcompat3d,50,0.7457200402819738,0.5737476808905381,0.07631804376606183,0.06927159896824281,0.0846691127289427,0.9579976126529394,0.16237053189003972,-0.039288442046223795,-0.04484393933857265,-0.03428845793635116,13404,9776,2085,980,563
sgfn,consensus,relcompat3d,100,0.9287512588116817,0.8951762523191095,0.15876571275742177,0.15197983062626083,0.16617884792228144,0.9592098512057465,0.18584514576089864,-0.056732442224128043,-0.06146563752674378,-0.05223653293109772,31184,19604,5559,4749,1272
