source,family,method,k,selected,recall,recall_numerator,recall_denominator,violation,violation_numerator,violation_denominator
open3dsg,support_contact,identity_family_slots,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,identity_family_slots,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,linear_family_slots,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,linear_family_slots,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,linear_family_slots,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
open3dsg,support_contact,linear_family_slots,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,linear_family_slots,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,linear_pv_global,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,linear_pv_global,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,linear_pv_global,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
open3dsg,support_contact,linear_pv_global,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,linear_pv_global,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,linear_support_order_only,5,1591,0.17290748898678415,314,1816,0.07793840351979887,124,1591
open3dsg,support_contact,linear_support_order_only,10,3295,0.2802863436123348,509,1816,0.0874051593323217,288,3295
open3dsg,support_contact,linear_support_order_only,20,7381,0.46255506607929514,840,1816,0.08968974393713589,662,7381
open3dsg,support_contact,linear_support_order_only,50,19283,0.6690528634361234,1215,1816,0.055178136182129335,1064,19283
open3dsg,support_contact,linear_support_order_only,100,35053,0.7422907488986784,1348,1816,0.04085242347302656,1432,35053
open3dsg,support_contact,linear_all_families,5,1127,0.14757709251101322,268,1816,0.0940550133096717,106,1127
open3dsg,support_contact,linear_all_families,10,2411,0.2758810572687225,501,1816,0.10037328909166321,242,2411
open3dsg,support_contact,linear_all_families,20,5110,0.4647577092511013,844,1816,0.09119373776908024,466,5110
open3dsg,support_contact,linear_all_families,50,10792,0.5974669603524229,1085,1816,0.0643995552260934,695,10792
open3dsg,support_contact,linear_all_families,100,21066,0.6800660792951542,1235,1816,0.050412987752776986,1062,21066
open3dsg,support_contact,mlp_family_slots,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,mlp_family_slots,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,mlp_family_slots,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
open3dsg,support_contact,mlp_family_slots,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,mlp_family_slots,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,mlp_pv_global,5,482,0.06938325991189427,126,1816,0.05186721991701245,25,482
open3dsg,support_contact,mlp_pv_global,10,1713,0.177863436123348,323,1816,0.07238762405137186,124,1713
open3dsg,support_contact,mlp_pv_global,20,4111,0.29900881057268724,543,1816,0.0812454390659207,334,4111
open3dsg,support_contact,mlp_pv_global,50,13833,0.6156387665198237,1118,1816,0.06462806332682715,894,13833
open3dsg,support_contact,mlp_pv_global,100,27162,0.7125550660792952,1294,1816,0.046535601207569395,1264,27162
open3dsg,support_contact,mlp_support_order_only,5,1439,0.15418502202643172,280,1816,0.07922168172341904,114,1439
open3dsg,support_contact,mlp_support_order_only,10,3256,0.2736784140969163,497,1816,0.09398034398034398,306,3256
open3dsg,support_contact,mlp_support_order_only,20,7432,0.4658590308370044,846,1816,0.09149623250807319,680,7432
open3dsg,support_contact,mlp_support_order_only,50,18823,0.6547356828193832,1189,1816,0.055782818891781334,1050,18823
open3dsg,support_contact,mlp_support_order_only,100,35500,0.7455947136563876,1354,1816,0.041070422535211266,1458,35500
open3dsg,support_contact,mlp_all_families,5,1028,0.14317180616740088,260,1816,0.11575875486381323,119,1028
open3dsg,support_contact,mlp_all_families,10,2109,0.28744493392070486,522,1816,0.13608345187292556,287,2109
open3dsg,support_contact,mlp_all_families,20,3862,0.4950440528634361,899,1816,0.12221646815121699,472,3862
open3dsg,support_contact,mlp_all_families,50,7717,0.6255506607929515,1136,1816,0.08202669431126085,633,7717
open3dsg,support_contact,mlp_all_families,100,16287,0.7158590308370044,1300,1816,0.058390127095229324,951,16287
open3dsg,proximity,source,5,118,0.0056625141562853904,10,1766,0.05084745762711865,6,118
open3dsg,proximity,source,10,739,0.039071347678369193,69,1766,0.03247631935047361,24,739
open3dsg,proximity,source,20,2893,0.13873159682899208,245,1766,0.05150362945039751,149,2893
open3dsg,proximity,source,50,6295,0.2627406568516421,464,1766,0.06354249404289118,400,6295
open3dsg,proximity,source,100,10929,0.36919592298980747,652,1766,0.046847836032573885,512,10929
open3dsg,proximity,identity_family_slots,5,118,0.0056625141562853904,10,1766,0.05084745762711865,6,118
open3dsg,proximity,identity_family_slots,10,739,0.039071347678369193,69,1766,0.03247631935047361,24,739
open3dsg,proximity,identity_family_slots,20,2893,0.13873159682899208,245,1766,0.05150362945039751,149,2893
open3dsg,proximity,identity_family_slots,50,6295,0.2627406568516421,464,1766,0.06354249404289118,400,6295
open3dsg,proximity,identity_family_slots,100,10929,0.36919592298980747,652,1766,0.046847836032573885,512,10929
open3dsg,proximity,linear_family_slots,5,118,0.007927519818799546,14,1766,0.0,0,118
open3dsg,proximity,linear_family_slots,10,739,0.06568516421291053,116,1766,0.0,0,739
open3dsg,proximity,linear_family_slots,20,2893,0.21347678369195924,377,1766,0.0,0,2893
open3dsg,proximity,linear_family_slots,50,6295,0.32672706681766706,577,1766,0.0,0,6295
open3dsg,proximity,linear_family_slots,100,10929,0.4637599093997735,819,1766,0.0025619910330313845,28,10929
open3dsg,proximity,linear_pv_global,5,917,0.10532276330690826,186,1766,0.0,0,917
open3dsg,proximity,linear_pv_global,10,1558,0.16761041902604756,296,1766,0.0,0,1558
open3dsg,proximity,linear_pv_global,20,2934,0.25141562853907135,444,1766,0.0,0,2934
open3dsg,proximity,linear_pv_global,50,5923,0.33861834654586637,598,1766,0.0,0,5923
open3dsg,proximity,linear_pv_global,100,11692,0.4960362400906002,876,1766,0.00034211426616489907,4,11692
open3dsg,proximity,linear_support_order_only,5,277,0.03284258210645526,58,1766,0.0,0,277
open3dsg,proximity,linear_support_order_only,10,885,0.09060022650056625,160,1766,0.0,0,885
open3dsg,proximity,linear_support_order_only,20,1808,0.18063420158550397,319,1766,0.0,0,1808
open3dsg,proximity,linear_support_order_only,50,3679,0.2814269535673839,497,1766,0.0,0,3679
open3dsg,proximity,linear_support_order_only,100,8087,0.41336353340883353,730,1766,0.0004946209966613083,4,8087
open3dsg,proximity,linear_all_families,5,637,0.07078142695356739,125,1766,0.0,0,637
open3dsg,proximity,linear_all_families,10,1456,0.15571913929784825,275,1766,0.0,0,1456
open3dsg,proximity,linear_all_families,20,2823,0.24631936579841449,435,1766,0.0,0,2823
open3dsg,proximity,linear_all_families,50,7526,0.38391845979614947,678,1766,0.0,0,7526
open3dsg,proximity,linear_all_families,100,13885,0.5634201585503964,995,1766,0.0010082823190493337,14,13885
open3dsg,proximity,mlp_family_slots,5,118,0.008493771234428085,15,1766,0.0,0,118
open3dsg,proximity,mlp_family_slots,10,739,0.07644394110985278,135,1766,0.0,0,739
open3dsg,proximity,mlp_family_slots,20,2893,0.23952434881087203,423,1766,0.0,0,2893
open3dsg,proximity,mlp_family_slots,50,6295,0.38674971687429216,683,1766,0.0,0,6295
open3dsg,proximity,mlp_family_slots,100,10929,0.543035107587769,959,1766,0.0024704913532802636,27,10929
open3dsg,proximity,mlp_pv_global,5,572,0.09343148357870895,165,1766,0.0,0,572
open3dsg,proximity,mlp_pv_global,10,965,0.14552661381653453,257,1766,0.0,0,965
open3dsg,proximity,mlp_pv_global,20,1738,0.217440543601359,384,1766,0.0,0,1738
open3dsg,proximity,mlp_pv_global,50,3423,0.3052095130237826,539,1766,0.0,0,3423
open3dsg,proximity,mlp_pv_global,100,7197,0.4445073612684032,785,1766,0.0005557871335278589,4,7197
open3dsg,proximity,mlp_support_order_only,5,149,0.01868629671574179,33,1766,0.0,0,149
open3dsg,proximity,mlp_support_order_only,10,523,0.07814269535673839,138,1766,0.0,0,523
open3dsg,proximity,mlp_support_order_only,20,1055,0.15175537938844846,268,1766,0.0,0,1055
open3dsg,proximity,mlp_support_order_only,50,2121,0.23839184597961494,421,1766,0.0,0,2121
open3dsg,proximity,mlp_support_order_only,100,4615,0.36296715741789354,641,1766,0.000866738894907909,4,4615
open3dsg,proximity,mlp_all_families,5,380,0.05605889014722537,99,1766,0.0,0,380
open3dsg,proximity,mlp_all_families,10,938,0.13533408833522084,239,1766,0.0,0,938
open3dsg,proximity,mlp_all_families,20,1914,0.22083805209513024,390,1766,0.0,0,1914
open3dsg,proximity,mlp_all_families,50,5112,0.3725934314835787,658,1766,0.0,0,5112
open3dsg,proximity,mlp_all_families,100,10713,0.5860702151755379,1035,1766,0.0031737141790348176,34,10713
open3dsg,relative_vertical,source,5,2065,0.0,0,390,0.6566585956416465,1356,2065
open3dsg,relative_vertical,source,10,2878,0.0,0,390,0.5576789437109103,1605,2878
open3dsg,relative_vertical,source,20,3656,0.005128205128205128,2,390,0.4800328227571116,1755,3656
open3dsg,relative_vertical,source,50,6508,0.06153846153846154,24,390,0.3689305470190535,2401,6508
open3dsg,relative_vertical,source,100,14361,0.2153846153846154,84,390,0.3297820486038577,4736,14361
open3dsg,relative_vertical,identity_family_slots,5,2065,0.0,0,390,0.6566585956416465,1356,2065
open3dsg,relative_vertical,identity_family_slots,10,2878,0.0,0,390,0.5576789437109103,1605,2878
open3dsg,relative_vertical,identity_family_slots,20,3656,0.005128205128205128,2,390,0.4800328227571116,1755,3656
open3dsg,relative_vertical,identity_family_slots,50,6508,0.06153846153846154,24,390,0.3689305470190535,2401,6508
open3dsg,relative_vertical,identity_family_slots,100,14361,0.2153846153846154,84,390,0.3297820486038577,4736,14361
open3dsg,relative_vertical,linear_family_slots,5,2065,0.020512820512820513,8,390,0.0,0,2065
open3dsg,relative_vertical,linear_family_slots,10,2878,0.03333333333333333,13,390,0.0,0,2878
open3dsg,relative_vertical,linear_family_slots,20,3656,0.046153846153846156,18,390,0.0,0,3656
open3dsg,relative_vertical,linear_family_slots,50,6508,0.15384615384615385,60,390,0.0027658266748617085,18,6508
open3dsg,relative_vertical,linear_family_slots,100,14361,0.3717948717948718,145,390,0.028340644801894018,407,14361
open3dsg,relative_vertical,linear_pv_global,5,1266,0.01282051282051282,5,390,0.0,0,1266
open3dsg,relative_vertical,linear_pv_global,10,2059,0.02564102564102564,10,390,0.0,0,2059
open3dsg,relative_vertical,linear_pv_global,20,3615,0.04871794871794872,19,390,0.0,0,3615
open3dsg,relative_vertical,linear_pv_global,50,6880,0.15897435897435896,62,390,0.001308139534883721,9,6880
open3dsg,relative_vertical,linear_pv_global,100,13598,0.32564102564102565,127,390,0.025371378143844683,345,13598
open3dsg,relative_vertical,linear_support_order_only,5,797,0.0,0,390,0.0,0,797
open3dsg,relative_vertical,linear_support_order_only,10,1150,0.0,0,390,0.0,0,1150
