source,method,k,recall,recall_delta,recall_delta_ci_low,recall_delta_ci_high,violation,violation_delta,violation_delta_ci_low,violation_delta_ci_high
sgfn,mlp_family_slots,50,0.7457200402819738,0.0055387713997985255,0.003236854847631895,0.0080564443036077,0.025766423357664235,-0.012700729927007298,-0.015073159033654152,-0.010587344028520497
sgfn,mlp_family_slots,100,0.9287512588116817,0.005287009063444037,0.002799694578773268,0.007923625428197783,0.035036496350364967,-0.027937956204379562,-0.03057610165794066,-0.025411528059499665
sgfn,mlp_pv_global,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,mlp_pv_global,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,mlp_pv_global,20,0.49269889224572005,0.0015105740181268756,-0.00026359322446744827,0.0036555437599823546,0.029562043795620437,-0.0026459854014598515,-0.004273525513585158,-0.00134131328659093
sgfn,mlp_pv_global,50,0.7525176233635448,0.012336354481369494,0.007908012766266168,0.017489722454399406,0.025656934306569342,-0.012810218978102191,-0.015327549495390507,-0.010695951107715814
sgfn,mlp_pv_global,100,0.9312688821752266,0.007804632426988922,0.004948814231606669,0.01110095180132488,0.03366788321167883,-0.0293065693430657,-0.03198525519848771,-0.026659444218654748
sgfn,mlp_support_order_only,5,0.3116817724068479,0.0,0.0,0.0,0.023722627737226276,0.0,0.0,0.0
sgfn,mlp_support_order_only,10,0.39753272910372606,0.0,0.0,0.0,0.03467153284671533,-0.0001824817518248159,-0.0005780625795076726,0.0
sgfn,mlp_support_order_only,20,0.4911883182275932,0.0,-0.0015786047757873026,0.0014836637213655264,0.029744525547445257,-0.002463503649635032,-0.004159136007937396,-0.0011068083208304602
sgfn,mlp_support_order_only,50,0.7469788519637462,0.006797583081570968,0.0033783345033345236,0.010710868054986939,0.025985401459854014,-0.012481751824817519,-0.015009826922225664,-0.010328055146045333
