source,method,k,violation_all,violation_decidable,uncertainty_rate,pessimistic_violation,decidable_coverage,status_coverage,selected,satisfied,uncertain,violated,other
vlsat,rrf_all_families,20,0.01332116788321168,0.0158989437003158,0.16213503649635036,0.17545620437956205,0.8378649635036496,1.0,10960,9037,1777,146,0
vlsat,rrf_all_families,50,0.01645985401459854,0.02069566813509545,0.20467153284671533,0.22113138686131387,0.7953284671532846,1.0,27400,21341,5608,451,0
vlsat,rrf_all_families,100,0.02322992700729927,0.03097248242135228,0.24998175182481752,0.2732116788321168,0.7500182481751825,1.0,54800,39828,13699,1273,0
vlsat,pooled_product,5,0.0010948905109489052,0.0012526096033402922,0.1259124087591241,0.12700729927007298,0.8740875912408759,1.0,2740,2392,345,3,0
vlsat,pooled_product,10,0.0062043795620437955,0.007130872483221477,0.12992700729927006,0.13613138686131387,0.8700729927007299,1.0,5480,4734,712,34,0
vlsat,pooled_product,20,0.01167883211678832,0.014114014775609219,0.17253649635036497,0.18421532846715327,0.8274635036496351,1.0,10960,8941,1891,128,0
vlsat,pooled_product,50,0.021897810218978103,0.029212717269584694,0.2504014598540146,0.2722992700729927,0.7495985401459854,1.0,27400,19939,6861,600,0
vlsat,pooled_product,100,0.0387043795620438,0.05636460271060324,0.3133211678832117,0.3520255474452555,0.6866788321167884,1.0,54800,35509,17170,2121,0
vlsat,hard_rule_filter,5,0.0,0.0,0.14124087591240875,0.14124087591240875,0.8587591240875913,1.0,2740,2353,387,0,0
vlsat,hard_rule_filter,10,0.0,0.0,0.14470802919708028,0.14470802919708028,0.8552919708029197,1.0,5480,4687,793,0,0
vlsat,hard_rule_filter,20,0.0,0.0,0.19197080291970803,0.19197080291970803,0.808029197080292,1.0,10960,8856,2104,0,0
vlsat,hard_rule_filter,50,0.0,0.0,0.285,0.285,0.715,1.0,27400,19591,7809,0,0
vlsat,hard_rule_filter,100,0.0,0.0,0.3711505814059619,0.3711505814059619,0.6288494185940381,1.0,54781,34449,20332,0,0
vlsat,family_product_continuity,5,0.0010948905109489052,0.0012531328320802004,0.12627737226277372,0.12737226277372263,0.8737226277372263,1.0,2740,2391,346,3,0
vlsat,family_product_continuity,10,0.004927007299270073,0.005689001264222503,0.13394160583941606,0.13886861313868612,0.8660583941605839,1.0,5480,4719,734,27,0
vlsat,family_product_continuity,20,0.01113138686131387,0.0134925901349259,0.175,0.18613138686131386,0.825,1.0,10960,8920,1918,122,0
vlsat,family_product_continuity,50,0.020437956204379562,0.027297099683158663,0.25127737226277375,0.2717153284671533,0.7487226277372263,1.0,27400,19955,6885,560,0
vlsat,family_product_continuity,100,0.03275547445255474,0.047734283586852465,0.3137956204379562,0.34655109489051095,0.6862043795620438,1.0,54800,35809,17196,1795,0
vlsat,compatibility_only_all_families,5,0.013868613138686132,0.020364415862808145,0.318978102189781,0.33284671532846716,0.6810218978102189,1.0,2740,1828,874,38,0
vlsat,compatibility_only_all_families,10,0.014781021897810219,0.019970414201183433,0.25985401459854013,0.27463503649635035,0.7401459854014598,1.0,5480,3975,1424,81,0
vlsat,compatibility_only_all_families,20,0.012408759124087591,0.01604530438886267,0.22664233576642337,0.23905109489051096,0.7733576642335767,1.0,10960,8340,2484,136,0
vlsat,compatibility_only_all_families,50,0.014306569343065694,0.01763462144046066,0.18872262773722628,0.20302919708029196,0.8112773722627737,1.0,27400,21837,5171,392,0
vlsat,compatibility_only_all_families,100,0.0197992700729927,0.02461322081575246,0.19558394160583942,0.21538321167883212,0.8044160583941606,1.0,54800,42997,10718,1085,0
open3dsg,source_score,5,0.5131386861313869,0.7151576805696847,0.2824817518248175,0.7956204379562044,0.7175182481751825,1.0,2740,560,774,1406,0
open3dsg,source_score,10,0.32554744525547447,0.4667713239141811,0.3025547445255474,0.628102189781022,0.6974452554744526,1.0,5480,2038,1658,1784,0
open3dsg,source_score,20,0.20879020467836257,0.30188928524243624,0.30838815789473684,0.5171783625730995,0.6916118421052632,1.0,10944,5284,3375,2285,0
open3dsg,source_score,50,0.1386412202490605,0.22691913405294578,0.38902807457077593,0.5276692948198364,0.6109719254292241,1.0,27142,12820,10559,3763,0
open3dsg,source_score,100,0.12419865751564975,0.2128133884724735,0.4163964099856701,0.5405950675013198,0.5836035900143299,1.0,53036,24365,22084,6587,0
open3dsg,all_family_product,5,0.040145985401459854,0.05057471264367816,0.2062043795620438,0.24635036496350365,0.7937956204379562,1.0,2740,2065,565,110,0
open3dsg,all_family_product,10,0.04525547445255475,0.056789558049003895,0.2031021897810219,0.24835766423357664,0.7968978102189781,1.0,5480,4119,1113,248,0
